state,city,address,zip,phone,latitude,longitude
Alabama,Hoover,3650 Galleria Cir,35244-2346,(205) 909-1039,33.379,-86.812
Alabama,Huntsville,1205 N. Memorial Pkwy,35801-5930,(256) 519-2220,34.744,-86.603
Alabama,Madison,8094 Highway 72 West,35758-9567,(938) 218-2913,34.753,-86.754
Alabama,Mobile,1450 Tingle Circle West,36606-2632,(251) 308-7030,30.649,-88.119
Alabama,Montgomery,8251 Eastchase Pkwy,36117-7033,(334) 270-7452,32.364,-86.151
Alaska,Anchorage,330 W Dimond Blvd,99515-1903,(907) 349-2335,61.143,-149.885
Alaska,Anchorage,1074 N Muldoon Rd,99504-2073,(907) 416-9780,61.229,-149.738
Alaska,Anchorage,8600 King Street,99515,(907) 206-6265,61.143,-149.88
Alaska,Fairbanks,48 College Rd,99701-1706,(907) 205-3607,64.853,-147.708
Alaska,Juneau,5225 Commercial Blvd,99801-7210,(907) 780-6740,58.359,-134.483
Alaska,Anchorage,4125 Debarr Rd,99508-3115,(907) 269-9510,61.21,-149.804
Arizona,Avondale,10000 W Mcdowell Rd,85392-4803,(623) 907-5663,33.467,-112.274
Arizona,Buckeye,1111 N. Verrado Way,85326,(480) 618-4000,33.46,-112.501
Arizona,Phoenix,2450 E Beardsley Rd,85050-1300,(480) 375-2850,33.671,-112.028
Arizona,Chandler,595 S Galleria Way,85226-4932,(480) 375-2051,33.293,-111.9
Arizona,Gilbert,1415 N Arizona Ave,85233-1616,(480) 293-0053,33.377,-111.841
Arizona,Glendale,17550 N 79Th Ave,85308-8711,(623) 776-4003,33.643,-112.233
Arizona,Mesa,1444 S Sossaman Rd,85209-3400,(480) 333-6552,33.389,-111.669
Arizona,Phoenix,19001 N 27Th Ave,85027-5036,(623) 293-4400,33.66,-112.116
Arizona,Tucson,3901 W Costco Dr,85741-2864,(520) 797-1980,32.326,-111.049
Arizona,Phoenix,4570 E Cactus Rd,85032-7702,(480) 308-7044,33.604,-111.986
Arizona,Phoenix,3801 N 33Rd Ave,85017-4508,(480) 293-2123,33.492,-112.128
Arizona,Prescott,3911 E State Route 69,86301-6717,(928) 541-2203,34.548,-112.397
Arizona,Queen Creek,20260 S Ellsworth Rd,85142,(480) 847-1000,33.265,-111.637
Arizona,Gilbert,2887 S Market St,85295-1303,(480) 366-3950,33.296,-111.746
Arizona,Tucson,1650 E Tucson Marketplace Blvd,85713-6561,(520) 791-7340,32.181,-110.947
Arizona,Scottsdale,15255 N Hayden Rd,85260-2551,(480) 948-5040,33.623,-111.901
Arizona,Surprise,16385 W. Waddell Rd.,85388,(602) 325-1799,33.608,-112.412
Arizona,Tempe,1445 W Elliot Rd,85284-1103,(480) 496-6651,33.347,-111.961
Arizona,Phoenix,4502 E Oak St,85008-2411,(602) 808-0101,33.474,-111.985
Arizona,Tucson,6255 East Grant Road,85712-5804,(520) 886-6377,32.252,-110.859
Arkansas,Little Rock,16901 Chenal Parkway,72223,(501) 817-8603,34.757,-92.454
California,Alhambra,2207 W Commonwealth Ave,91803-1302,(626) 289-7164,34.089,-118.148
California,San Jose,5301 Almaden Expy,95118-3603,(408) 723-0964,37.253,-121.88
California,Antioch,2201 Verne Roberts Cir,94509-7911,(925) 757-7130,38.009,-121.836
California,Azusa,1220 W Foothill Blvd,91702-2819,(626) 812-7911,34.132,-117.926
California,Bakersfield,3800 Rosedale Hwy,93308-6235,(661) 852-2643,35.385,-119.049
California,Brentwood,5151 Heidorn Ranch Rd,94513-0000,(925) 666-0223,37.957,-121.746
California,Burbank,1051 W Burbank Blvd,91506-1421,(818) 557-3783,34.185,-118.324
California,North Hollywood,11428 Sherman Way,91605-5807,(818) 423-7082,34.2,-118.38
California,Sacramento,1600 Expo Pkwy,95815-4228,(916) 830-1078,38.597,-121.453
California,Carlsbad,951 Palomar Airport Rd,92011-1110,(760) 929-0963,33.12,-117.316
California,San Diego,12350 Carmel Mountain Rd,92128-4616,(858) 675-0379,32.987,-117.078
California,Chico,2100 Dr Mlk Jr Pkwy,95928-4422,(530) 332-1742,39.721,-121.811
California,Chino Hills,13111 Peyton Dr,91709-6002,(909) 464-2900,34.015,-117.742
California,Chula Vista,1130 Broadway,91911-2707,(619) 205-1501,32.608,-117.083
California,Citrus Heights,7000 Auburn Blvd,95621-4342,(916) 560-4003,38.69,-121.298
California,City Of Industry,17550 Castleton St,91748-1701,(626) 839-3053,33.994,-117.922
California,Clovis,2270 Clovis Ave,93612,(559) 291-3377,36.806,-119.703
California,Commerce,6333 Telegraph Rd,90040-2513,(323) 767-2640,33.995,-118.141
California,Concord,2400 Monument Blvd,94520-3105,(925) 566-4003,37.958,-122.033
California,Corona,480 N Mckinley St,92879-1291,(951) 279-1190,33.886,-117.524
California,Marina Del Rey,13463 Washington Blvd,90292-5658,(310) 754-2003,33.993,-118.446
California,Cypress,5401 Katella Ave,90720-2809,(562) 668-5150,33.804,-118.039
California,Danville,3150 Fostoria Way,94526-5553,(925) 277-0407,37.782,-121.973
California,Eastvale,5030 Hamner Ave,91752-1009,(951) 749-7182,33.997,-117.556
California,South San Francisco,1600 El Camino Real,94080-1206,(650) 757-3003,37.665,-122.448
California,El Centro,2030 N Imperial Ave,92243-1323,(760) 353-2380,32.812,-115.573
California,Elk Grove,7400 Elk Grove Blvd,95757-6299,(916) 465-6050,38.406,-121.414
California,Eureka,1006 W Wabash Ave,95501-2121,(707) 441-8750,40.792,-124.182
California,Fairfield,5101 Business Center Dr,94534-1624,(707) 864-3816,38.215,-122.145
California,Folsom,1800 Cavitt Dr,95630-6235,(916) 850-1000,38.645,-121.11
California,Fontana,16505 Sierra Lakes Pkwy,92336-1256,(909) 770-5639,34.138,-117.443
California,Foster City,1001 Metro Center Blvd,94404-2177,(650) 286-0739,37.562,-122.274
California,Fountain Valley,17900 Newhope St,92708-5422,(714) 338-2183,33.703,-117.932
California,Fremont,43621 Pacific Commons Blvd,94538-3809,(510) 897-1092,37.502,-121.973
California,Fresno,4500 W Shaw Ave,93722-6200,(559) 271-6511,36.81,-119.874
California,Fullerton,900 S Harbor Blvd,92832-3025,(714) 738-7521,33.862,-117.922
California,Garden Grove,11000 Garden Grove Blvd,92843-1206,(714) 638-6308,33.773,-117.941
California,Gilroy,7251 Camino Arroyo,95020-7340,(408) 848-0700,37.008,-121.556
California,Goleta,7095 Market Place Dr,93117-5905,(805) 685-3199,34.428,-119.874
California,San Jose,6898 Raleigh Road,95119-1730,(408) 908-7929,37.244,-121.786
California,Hanford,2395 E Lacey Blvd,93230-4740,(559) 670-6008,36.326,-119.607
California,Hawthorne,14501 Hindry Avenue,90250-6748,(310) 727-0403,33.899,-118.373
California,Hawthorne,12530 Prairie Ave,90250-4638,(310) 220-8826,33.919,-118.343
California,Hayward,28505 Hesperian Blvd,94545-5008,(510) 921-3128,37.615,-122.09
California,Hayward,22330 Hathaway Ave,94541-4861,(510) 259-6600,37.668,-122.103
California,Highland,28000 Greenspot Rd,92346-4450,(909) 863-4762,34.109,-117.192
California,Huntington Beach,7562 Center Ave,92647-3002,(714) 372-7510,33.733,-117.996
California,Inglewood,3560 W Century Blvd,90303-1201,(310) 242-2777,33.943,-118.334
California,Irvine,115 Technology Dr,92618-2408,(949) 453-0435,33.66,-117.745
California,La Habra,101 N Beach Blvd,90631-4468,(562) 524-0001,33.933,-117.97
California,La Mesa,8125 Fletcher Pkwy,91942-2934,(619) 667-8504,32.774,-117.024
California,La Quinta,79795 Highway 111,92253-4756,(760) 775-0363,33.705,-116.273
California,Laguna Niguel,27220 Heather Ridge Rd,92677-3418,(949) 389-8703,33.567,-117.711
California,Laguna Niguel,27972 Cabot Rd,92677-1211,(949) 364-0217,33.555,-117.677
California,Lake Elsinore,29315 Central Ave,92532-2212,(951) 253-6030,33.696,-117.339
California,Lakewood,340 Lakewood Center Mall,90712-2409,(562) 295-1508,33.85,-118.137
California,Lancaster,1141 W Avenue L,93534-7077,(661) 802-4470,34.661,-118.151
California,Livermore,2800 Independence Dr,94551-7628,(925) 443-6306,37.703,-121.812
California,Lodi,2680 Reynolds Ranch Pkwy,95240-6848,(209) 366-7300,38.1,-121.264
California,Loomis,4101 Sierra College Blvd,95650,(916) 953-7270,38.809,-121.205
California,Los Angeles,2901 Los Feliz Blvd,90039-1502,(323) 644-5201,34.128,-118.264
California,Manteca,2440 Daniels St,95337-6745,(209) 825-8200,37.785,-121.26
California,Linda,1214 N Beale Rd,95901,(530) 491-2717,39.125,-121.571
California,Merced,1445 R St,95340-5850,(209) 725-5020,37.303,-120.497
California,San Diego,2345 Fenton Pkwy,92108-4743,(619) 358-4000,32.782,-117.129
California,Modesto,3801 Pelandale Ave,95356-8300,(209) 342-4903,37.702,-121.067
California,Montclair,9404 Central Ave,91763-2421,(909) 575-5004,34.083,-117.69
California,Monterey Park,2000 Market Place Dr,91755-7402,(323) 890-1904,34.037,-118.104
California,San Diego,4605 Morena Blvd,92117-3650,(858) 270-6920,32.822,-117.225
California,Moreno Valley,12700 Day St,92553-7521,(951) 697-8900,33.935,-117.276
