store_id,name,street,city,state,zip,latitude,longitude,phone,url
2715,Target Store -,11000 Stockdale Hwy,Bakersfield,CA,93311-3635,35.34998,-119.125,+16616173657,https://www.target.com/sl/bakersfield/2715
3346,Target Store -,"7021 Hollywood Blvd, #210",Los Angeles,CA,90028-6034,34.101948,-118.342672,+12135887106,https://www.target.com/sl/los-angeles/3346
300,Target Store -,24500 Alicia Pkwy,Mission Viejo,CA,92691-4508,33.60628,-117.689,+19495831298,https://www.target.com/sl/mission-viejo/300
2492,Target Store -,6507 4th Ave,Sacramento,CA,95817-2611,38.549206,-121.426579,+19165033678,https://www.target.com/sl/sacramento/2492
2421,Target Store -,101 S Euclid St,Anaheim,CA,92802-1011,33.831712,-117.942535,+17144221120,https://www.target.com/sl/anaheim/2421
205,Target Store -,8001 Othello Ave,San Diego,CA,92111-3713,32.81637,-117.151,+18585761570,https://www.target.com/sl/san-diego/205
328,Target Store -,7200 Amador Plaza Rd,Dublin,CA,94568-2320,37.706588,-121.931028,+19258298900,https://www.target.com/sl/dublin/328
1427,Target Store -,1600 Saratoga Ave,San Jose,CA,95129-5101,37.290985,-121.989769,+14088717984,https://www.target.com/sl/san-jose/1427
303,Target Store -,2255 S El Camino Real,Oceanside,CA,92054-6318,33.184026,-117.329697,+17609678335,https://www.target.com/sl/oceanside/303
3216,Target Store -,620 S Virgil Ave Ste 100,Los Angeles,CA,90005-4080,34.06264,-118.286131,+12132963712,https://www.target.com/sl/los-angeles/3216
2581,Target Store -,95 Holger Way,San Jose,CA,95134-1377,37.418112,-121.955506,+14088341527,https://www.target.com/sl/san-jose/2581
1984,Target Store -,1750 Story Rd,San Jose,CA,95122-1921,37.340099,-121.840931,+14082730054,https://www.target.com/sl/san-jose/1984
2615,Target Store -,43950 Pacific Commons Blvd,Fremont,CA,94538-3803,37.502219,-121.968037,+15107711616,https://www.target.com/sl/fremont/2615
3231,Target Store -,11840 W. Santa Monica Blvd,Los Angeles,CA,90025-2202,34.04353,-118.456571,+14245593327,https://www.target.com/sl/los-angeles/3231
1407,Target Store -,133 Serramonte Ctr,Daly City,CA,94015-2349,37.670553,-122.470173,+16507552393,https://www.target.com/sl/daly-city/1407
911,Target Store -,7600 N Blackstone Ave,Fresno,CA,93720-4300,36.847075,-119.786993,+15594310104,https://www.target.com/sl/fresno/911
