state,city,address,zip,phone,latitude,longitude,store_url
Alabama,Hoover,3650 Galleria Cir,35244-2346,(205) 909-1039,33.379,-86.812,https://www.costco.com/warehouse-locations/hoover-alabama-362.html
Alabama,Huntsville,1205 N. Memorial Pkwy,35801-5930,(256) 519-2220,34.744,-86.603,https://www.costco.com/warehouse-locations/huntsville-alabama-356.html
Alabama,Madison,8094 Highway 72 West,35758-9567,(938) 218-2913,34.753,-86.754,https://www.costco.com/warehouse-locations/madison-alabama-1712.html
Alabama,Mobile,1450 Tingle Circle West,36606-2632,(251) 308-7030,30.649,-88.119,https://www.costco.com/warehouse-locations/mobile-alabama-1192.html
Alabama,Montgomery,8251 Eastchase Pkwy,36117-7033,(334) 270-7452,32.364,-86.151,https://www.costco.com/warehouse-locations/montgomery-alabama-1009.html
Alaska,Anchorage,330 W Dimond Blvd,99515-1903,(907) 349-2335,61.143,-149.885,https://www.costco.com/warehouse-locations/anchorage-alaska-10.html
Alaska,Anchorage,1074 N Muldoon Rd,99504-2073,(907) 416-9780,61.229,-149.738,https://www.costco.com/warehouse-locations/anchorage-alaska-1661.html
Alaska,Anchorage,8600 King Street,99515,(907) 206-6265,61.143,-149.88,https://www.costco.com/warehouse-locations/anchorage-alaska-1699.html
Alaska,Fairbanks,48 College Rd,99701-1706,(907) 205-3607,64.853,-147.708,https://www.costco.com/warehouse-locations/fairbanks-alaska-1342.html
Alaska,Juneau,5225 Commercial Blvd,99801-7210,(907) 780-6740,58.359,-134.483,https://www.costco.com/warehouse-locations/juneau-alaska-107.html
Alaska,Anchorage,4125 Debarr Rd,99508-3115,(907) 269-9510,61.21,-149.804,https://www.costco.com/warehouse-locations/anchorage-alaska-63.html
Arizona,Avondale,10000 W Mcdowell Rd,85392-4803,(623) 907-5663,33.467,-112.274,https://www.costco.com/warehouse-locations/avondale-arizona-691.html
Arizona,Buckeye,1111 N. Verrado Way,85326,(480) 618-4000,33.46,-112.501,https://www.costco.com/warehouse-locations/buckeye-arizona-1653.html
Arizona,Phoenix,2450 E Beardsley Rd,85050-1300,(480) 375-2850,33.671,-112.028,https://www.costco.com/warehouse-locations/phoenix-arizona-738.html
Arizona,Chandler,595 S Galleria Way,85226-4932,(480) 375-2051,33.293,-111.9,https://www.costco.com/warehouse-locations/chandler-arizona-736.html
Arizona,Gilbert,1415 N Arizona Ave,85233-1616,(480) 293-0053,33.377,-111.841,https://www.costco.com/warehouse-locations/gilbert-arizona-481.html
Arizona,Glendale,17550 N 79Th Ave,85308-8711,(623) 776-4003,33.643,-112.233,https://www.costco.com/warehouse-locations/glendale-arizona-674.html
Arizona,Mesa,1444 S Sossaman Rd,85209-3400,(480) 333-6552,33.389,-111.669,https://www.costco.com/warehouse-locations/mesa-arizona-1028.html
Arizona,Phoenix,19001 N 27Th Ave,85027-5036,(623) 293-4400,33.66,-112.116,https://www.costco.com/warehouse-locations/phoenix-arizona-490.html
Arizona,Tucson,3901 W Costco Dr,85741-2864,(520) 797-1980,32.326,-111.049,https://www.costco.com/warehouse-locations/tucson-arizona-431.html
Arizona,Phoenix,4570 E Cactus Rd,85032-7702,(480) 308-7044,33.604,-111.986,https://www.costco.com/warehouse-locations/phoenix-arizona-1058.html
Arizona,Phoenix,3801 N 33Rd Ave,85017-4508,(480) 293-2123,33.492,-112.128,https://www.costco.com/warehouse-locations/phoenix-arizona-827.html
